Player,Role,Team ID,Credit,Players_Link,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,fours_Scored,six_Scored,Bat_Dot%,Overs_Bowled,Runs_Given,Wickets_Taken,Econ,Bowl_Avg,Bowl_SR,5W,fours_Given,six_Given,Bowl_Dot%,next_SR,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
S Dhawan,Batsman,PBKS,9,https://www.punjabkingsipl.in/static-assets/images/players/3722.png?v=5.91,smat2022_131,37,27,1,137,0,0,7,0,44.4,0,0,0,0,0,0,0,0,0,0,137.5,33,24,0,0,0,27,38,21,28,0,0,0,0,0,0
JM Bairstow,WK,PBKS,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/216.png,t20blast2023_002,7,6,1,116.7,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,133.3333333,32,24,0,0,0,22,41,20,29,0,0,0,0,0,0
RR Rossouw,Batsman,PBKS,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1426.png,t20blast2022_132,23,20,1,115,0,0,1,2,50,0,0,0,0,0,0,0,0,0,0,173.3333333,26,15,0,0,0,23,29,13,17,0,0,0,0,0,0
A Taide,Batsman,PBKS,6.5,https://www.punjabkingsipl.in/static-assets/images/players/67910.png?v=5.91,smat2022_135,29,22,1,131.8,0,0,3,1,40.9,0,0,0,0,0,0,0,0,0,0,116.6666667,21,18,1,3,0,11,31,12,24,0,0,2,4,0,0
Harpreet Singh,Batsman,PBKS,6,https://www.iplt20.com/assets/images/default-headshot.png,smat2023_094,34,27,1,125.9,0,0,4,0,25.9,0,0,0,0,0,0,0,0,0,0,100,1,1,0,0,0,1,15,1,11,0,0,0,0,0,0
Shashank Singh,Batsman,PBKS,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/191.png,smat2023_094,28,22,1,127.3,0,0,1,1,18.2,1,11,0,11,0,0,0,1,0,0,0,0,0,0,0,1,1,15,1,10,0,0,-3,3,1,1
Arshdeep Singh,Bowler,PBKS,8.5,https://www.punjabkingsipl.in/static-assets/images/players/67905.png?v=5.91,smat2023_135,0,0,0,0,0,0,0,0,0,4,23,4,5.75,5.8,6,0,1,0,50,0,0,1,1,28,3,1,1,1,1,1,1,25,31,3,4
K Rabada,Bowler,PBKS,8.5,https://www.punjabkingsipl.in/static-assets/images/players/63611.png?v=5.91,sat20_2024_28,1,2,1,50,0,0,0,0,50,4,24,1,6,24,24,0,1,1,45.8,150,3,2,1,27,3,2,3,1,3,1,1,25,29,3,3
HV Patel,Bowler,PBKS,8,https://www.punjabkingsipl.in/static-assets/images/players/5407.png?v=5.91,smat2023_076,30,26,1,115.4,0,0,4,0,53.8,0,0,0,0,0,0,0,0,0,0,113.3333333,17,15,1,13,1,14,21,13,17,0,1,10,16,1,2
NT Ellis,Bowler,PBKS,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/633.png,t20blast2023_131,0,0,0,0,0,0,0,0,0,2.3,27,1,10.8,27,15,0,1,3,40,100,2,2,1,31,3,1,3,1,3,1,1,29,33,3,4
RD Chahar,Bowler,PBKS,7,https://www.punjabkingsipl.in/static-assets/images/players/66823.png?v=5.91,smat2022_061,8,4,0,200,0,0,0,1,25,3,26,0,8.67,0,0,0,2,1,22.2,100,7,7,1,29,3,7,8,7,8,1,1,27,31,3,4
Harpreet Brar,Bowler,PBKS,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/130.png,smat2023_135,0,0,0,0,0,0,0,0,0,4,35,1,8.75,35,24,0,2,2,33.3,200,4,2,1,24,3,1,6,1,4,1,1,21,28,3,3
T Thyagarajan,Bowler,PBKS,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1491.png,smat2023_069,0,0,0,0,0,0,0,0,0,4,21,1,5.25,21,24,0,1,1,45.8,100,2,2,0,0,0,1,11,1,10,-1,1,-5,5,1,0
SM Curran,AR,PBKS,8.5,https://www.punjabkingsipl.in/static-assets/images/players/65584.png?v=5.91,t20blast2023_132,5,10,1,50,0,0,0,0,50,4,32,1,8,32,24,0,3,0,29.2,127.2727273,14,11,1,27,3,11,18,9,13,1,1,25,29,3,3
LS Livingstone,AR,PBKS,8,https://www.punjabkingsipl.in/static-assets/images/players/63940.png?v=5.911,t20blast2023_127,7,13,1,53.8,0,0,1,0,69.2,2,22,1,11,22,12,0,1,1,25,145.4545455,32,22,1,20,2,29,35,20,24,0,1,18,22,2,2
Sikandar Raza,AR,PBKS,7.5,https://www.punjabkingsipl.in/static-assets/images/players/25422.png?v=5.91,psl2024_28,6,5,0,120,0,0,1,0,60,4,32,0,8,0,0,0,1,1,29.2,118.1818182,13,11,1,12,2,9,16,9,14,0,1,10,15,2,2
CR Woakes,AR,PBKS,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/314.png,t20blast2023_105,0,0,0,0,0,0,0,0,0,4,28,1,7,28,24,0,1,1,50,100,7,7,1,27,3,5,9,6,9,0,1,23,30,3,3
R Dhawan,AR,PBKS,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/996.png,smat2022_136,1,3,1,33.3,0,0,0,0,66.7,3.3,26,2,7.43,13,10.5,0,3,1,52.4,0,0,0,2,22,3,1,5,1,5,1,2,18,26,2,4
JM Sharma,WK,PBKS,7.5,https://www.punjabkingsipl.in/static-assets/images/players/64724.png?v=5.91,smat2022_135,46,24,0,191.7,0,0,3,3,16.7,0,0,0,0,0,0,0,0,0,0,175,21,12,0,0,0,16,26,9,15,0,0,0,0,0,0
Prabhsimran Singh,Batsman,PBKS,7,https://www.punjabkingsipl.in/static-assets/images/players/70222.png?v=5.91,smat2023_135,9,7,1,128.6,0,0,0,1,42.9,0,0,0,0,0,0,0,0,0,0,85.71428571,6,7,0,0,0,1,15,2,12,0,0,0,0,0,0
V Kohli,Batsman,RCB,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/2.png,ipl2024_06,77,49,1,157.1,1,0,11,2,38.8,0,0,0,0,0,0,0,0,0,0,154.5454545,34,22,0,0,0,29,40,19,26,0,0,0,0,0,0
F du Plessis,Batsman,RCB,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/94.png,t20blast2019_123,32,21,1,152.4,0,0,1,2,9.5,0,0,0,0,0,0,0,0,0,0,141.6666667,34,24,0,0,0,29,38,22,27,0,0,0,0,0,0
RM Patidar,Batsman,RCB,7,https://www.iplt20.com/assets/images/default-headshot.png,smat2023_108,50,30,1,166.7,1,0,2,4,23.3,0,0,0,0,0,0,0,0,0,0,120,24,20,0,0,0,9,39,11,28,0,0,0,0,0,0
Mahipal Lomaror,Batsman,RCB,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/184.png,smat2023_108,50,30,1,166.7,1,0,2,4,23.3,0,0,0,0,0,0,0,0,0,0,120,24,20,0,0,0,9,39,11,28,0,0,0,0,0,0
SS Prabhudessadi,Batsman,RCB,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/598.png,smat2023_108,50,30,1,166.7,1,0,2,4,23.3,0,0,0,0,0,0,0,0,0,0,120,24,20,0,0,0,9,39,11,28,0,0,0,0,0,0
SD Chauhan,Batsman,RCB,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/3114.png,smat2023_127,32,21,1,152.4,0,0,4,1,38.1,0,0,0,0,0,0,0,0,0,0,156.5217391,36,23,0,0,0,17,55,14,31,0,0,0,0,0,0
Mohammed Siraj,Bowler,RCB,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/63.png,ipl2024_06,0,0,0,0,0,0,0,0,0,4,26,2,6.5,13,12,0,4,0,50,66.66666667,2,3,1,32,4,2,3,2,3,1,1,30,35,3,4
LH Ferguson,Bowler,RCB,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/69.png,t20blast2021_094,0,0,0,0,0,0,0,0,0,4,22,4,5.5,5.5,6,0,1,0,50,200,2,1,1,25,3,0,3,0,2,1,1,22,27,3,4
RJW Topley,Bowler,RCB,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/574.png,t20blast2022_126,0,0,0,0,0,0,0,0,0,4,26,2,6.5,13,12,0,2,1,54.2,0,0,0,1,31,3,1,1,1,1,1,1,29,33,3,4
KV Sharma,Bowler,RCB,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/98.png,smat2023_096,29,14,0,207.1,0,0,3,2,28.6,3,27,1,9,27,18,0,0,3,38.9,50,1,2,1,24,3,1,1,1,3,1,1,21,27,3,3
AS Joseph,Bowler,RCB,7,https://www.iplt20.com/assets/images/default-headshot.png,sat20_2023_22,0,0,0,0,0,0,0,0,0,4,38,0,9.5,0,0,0,4,1,33.3,100,4,4,1,25,4,2,6,3,5,1,2,23,28,3,4
MJ Dagar,Bowler,RCB,6.5,https://www.iplt20.com/assets/images/default-headshot.png,smat2022_136,21,12,0,175,0,0,2,1,25,4,24,2,6,12,12,0,1,1,37.5,0,0,0,1,17,3,1,4,1,2,1,1,12,21,2,3
Yash Dayal,Bowler,RCB,6.5,https://www.iplt20.com/assets/images/default-headshot.png,smat2023_130,0,0,0,0,0,0,0,0,0,4,53,0,13.25,0,0,0,4,4,25,0,0,0,1,12,2,0,0,1,0,0,1,6,18,1,2
GJ Maxwell,AR,RCB,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/28.png,t20blast2023_128,32,23,1,139.1,0,0,5,1,47.8,2,28,0,14,0,0,0,2,2,8.3,164.7058824,28,17,1,5,1,24,32,15,19,0,1,3,7,1,1
Cameron Green,AR,RCB,8,https://www.iplt20.com/assets/images/default-headshot.png,ipl2024_06,3,5,1,60,0,0,0,0,60,2,19,0,9.5,0,0,0,1,1,33.3,195.4545455,43,22,1,13,1,31,55,16,29,-1,1,8,19,1,2
TK Curran,AR,RCB,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/309.png,t20blast2023_132,22,15,1,146.7,0,0,1,1,13.3,4,33,0,8.25,0,0,0,2,1,37.5,128.5714286,9,7,1,28,3,7,12,5,8,1,2,25,31,3,4
WG Jacks,AR,RCB,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1941.png,t20blast2023_132,9,13,1,69.2,0,0,1,0,61.5,0,0,0,0,0,0,0,0,0,0,142.1052632,27,19,1,5,1,22,32,16,21,0,0,3,6,0,1
Swapnil Singh,AR,RCB,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1483.png,tnpl2023_30,48,30,1,160,0,0,1,4,20,4,39,1,9.75,39,24,0,3,2,37.5,175,7,4,1,1,0,1,14,1,9,-1,1,-5,7,1,0
KD Karthik,WK,RCB,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/13.png,tnpl2022_20,21,16,1,131.2,0,0,3,0,31.2,0,0,0,0,0,0,0,0,0,0,138.4615385,18,13,0,0,0,14,22,11,15,0,0,0,0,0,0
Anuj Rawat,WK,RCB,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/534.png,smat2023_133,34,22,1,154.5,0,0,5,1,40.9,0,0,0,0,0,0,0,0,0,0,145,29,20,0,0,0,23,34,17,24,0,0,0,0,0,0
V Vyshak,Bowler,RCB,7,https://www.iplt20.com/assets/images/default-headshot.png,smat2023_099,2,3,1,66.7,0,0,0,0,33.3,4,55,1,13.75,55,24,0,6,4,58.3,150,3,2,1,4,1,3,4,1,3,0,1,-6,13,1,1
YBK Jaiswal,Batsman,RR,8.5,https://www.rajasthanroyals.com/static-assets/images/players/69238.png?v=6.01,smat2023_058,50,36,1,138.9,1,0,8,1,44.4,0,0,0,0,0,0,0,0,0,0,400,12,3,0,0,0,4,19,1,7,0,0,0,1,0,0
SO Hetmyer,Batsman,RR,8,https://www.rajasthanroyals.com/static-assets/images/players/64861.png?v=6.01,psl2021_16,7,9,1,77.8,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,130.7692308,17,13,0,0,0,14,21,11,15,0,0,0,0,0,0
R Powell,Batsman,RR,7.5,https://www.rajasthanroyals.com/static-assets/images/players/65291.png?v=6.01,psl2024_33,2,7,1,28.6,0,0,0,0,85.7,0,0,0,0,0,0,0,0,0,0,140,21,15,1,5,0,17,25,13,17,0,0,2,7,0,1
T Kohler-Cadmore,Batsman,RR,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/3113.png,t20blast2023_133,19,19,1,100,0,0,2,1,57.9,0,0,0,0,0,0,0,0,0,0,150,27,18,0,0,0,23,31,16,21,0,0,0,0,0,0
SB Dubey,Batsman,RR,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/3112.png,smat2022_135,19,22,1,86.4,0,0,1,0,36.4,0,0,0,0,0,0,0,0,0,0,160,8,5,0,0,0,1,16,1,10,0,0,0,0,0,0
TA Boult,Bowler,RR,9,https://www.rajasthanroyals.com/static-assets/images/players/4338.png?v=6.01,ssnz2021_30,0,0,0,0,0,0,0,0,0,3,40,2,13.33,20,9,0,7,1,27.8,200,2,1,1,25,3,1,2,1,1,1,1,24,27,3,3
YS Chahal,Bowler,RR,9,https://www.rajasthanroyals.com/static-assets/images/players/9844.png?v=6.01,smat2023_076,0,0,0,0,0,0,0,0,0,3.5,8,4,2.09,2,5.8,0,0,0,78.3,0,0,0,1,27,3,1,0,1,1,1,1,25,28,3,3
Avesh Khan,Bowler,RR,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/109.png,smat2023_108,0,0,0,0,0,0,0,0,0,4,27,1,6.75,27,24,0,2,1,45.8,100,1,1,1,35,4,0,2,0,1,1,1,32,38,3,4
Sandeep Sharma,Bowler,RR,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/220.png,smat2021_101,1,2,1,50,0,0,0,0,50,4,35,1,8.75,35,24,0,4,1,29.2,100,1,1,1,29,3,0,1,1,1,0,1,27,32,3,4
N Burger,Bowler,RR,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/2806.png,sat20_2024_33,1,4,1,25,0,0,0,0,75,4,27,2,6.75,13.5,12,0,4,0,41.7,100,2,2,1,22,3,1,2,1,3,0,1,18,26,2,3
NA Saini,Bowler,RR,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/207.png,smat2023_133,0,0,0,0,0,0,0,0,0,3,32,0,10.67,0,0,0,3,2,33.3,100,1,1,1,29,3,0,2,0,3,1,1,27,32,3,3
KR Sen,Bowler,RR,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1005.png,smat2023_090,0,1,0,0,0,0,0,0,100,1,21,0,21,0,0,0,0,3,33.3,0,0,0,1,24,3,0,0,1,1,1,2,18,29,3,4
Abid Mushtaq,Bowler,RR,5.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1591.png,smat2023_104,0,0,0,0,0,0,0,0,0,4,29,0,7.25,0,0,0,3,1,41.7,83.33333333,5,6,1,7,1,5,5,6,6,0,0,1,14,1,1
R Ashwin,AR,RR,8,https://www.rajasthanroyals.com/static-assets/images/players/4555.png?v=6.01,tnpl2023_16,5,10,1,50,0,0,0,0,50,4,31,1,7.75,31,24,0,1,1,29.2,100,5,5,1,28,4,2,8,3,7,1,1,26,30,4,4
R Parag,AR,RR,7,https://www.rajasthanroyals.com/static-assets/images/players/66939.png?v=6.01,smat2023_134,8,10,1,80,0,0,0,0,20,3,32,0,10.67,0,0,0,1,3,44.4,111.1111111,10,9,1,16,2,4,16,5,13,0,1,13,19,2,2
D Ferreira,AR,RR,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/2033.png,sat20_2024_33,24,12,1,200,0,0,3,1,25,0,0,0,0,0,0,0,0,0,0,153.8461538,20,13,0,0,0,7,33,8,18,-1,1,-5,5,1,0
JC Buttler,WK,RR,9,https://www.rajasthanroyals.com/static-assets/images/players/9782.png?v=6.01,t20blast2023_127,42,32,1,131.2,0,0,2,3,40.6,0,0,0,0,0,0,0,0,0,0,145.8333333,35,24,0,0,0,30,39,21,26,0,0,0,0,0,0
SV Samson,WK,RR,8.5,https://www.rajasthanroyals.com/static-assets/images/players/61837.png?v=6.01,smat2023_132,0,1,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,133.3333333,28,21,0,0,0,23,34,18,24,0,0,0,0,0,0
DC Jurel,WK,RR,7,https://www.rajasthanroyals.com/static-assets/images/players/71370.png?v=6.01,smat2023_127,13,9,0,144.4,0,0,1,1,55.6,0,0,0,0,0,0,0,0,0,0,200,2,1,0,0,0,1,7,1,3,0,0,0,0,0,0
TK Kotian,Bowler,RR,5,https://www.iplt20.com/assets/images/default-headshot.png,smat2023_058,0,0,0,0,0,0,0,0,0,2,8,1,4,8,12,0,0,0,50,100,9,9,1,6,1,2,17,2,16,-1,1,-1,12,0,2
TM Head,Batsman,SRH,8,https://www.iplt20.com/assets/images/default-headshot.png,t20blast2021_108,5,8,1,62.5,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,138.0952381,29,21,1,3,0,22,36,16,25,0,1,0,6,0,1
MA Agarwal,Batsman,SRH,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/55.png,smat2023_099,59,35,1,168.6,1,0,8,2,28.6,0,0,0,0,0,0,0,0,0,0,142.1052632,27,19,0,0,0,22,32,16,23,0,0,0,0,0,0
RA Tripathi,Batsman,SRH,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/188.png,smat2023_068,35,16,0,218.8,0,0,6,0,18.8,1,4,0,4,0,0,0,0,0,83.3,150,18,12,0,0,0,13,22,10,15,0,0,0,0,0,0
GD Phillips,Batsman,SRH,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/635.png,t20blast2022_119,52,39,1,133.3,1,0,1,3,20.5,1,7,1,7,7,6,0,1,0,33.3,106.25,17,16,1,3,0,13,21,13,18,0,0,2,4,0,0
Abhishek Sharma,Batsman,SRH,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/212.png,smat2023_135,0,1,1,0,0,0,0,0,100,1,13,0,13,0,0,0,1,1,16.7,175,35,20,1,10,1,28,42,17,23,0,0,8,12,1,2
Abdul Samad,Batsman,SRH,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/525.png,smat2023_058,38,30,0,126.7,0,0,3,1,23.3,0,0,0,0,0,0,0,0,0,0,200,18,9,1,3,0,13,23,5,12,0,0,-1,7,0,0
PJ Cummins,Bowler,SRH,8.5,https://www.iplt20.com/assets/images/default-headshot.png,ipl2024_03,0,1,0,0,0,0,0,0,100,4,32,1,8,32,24,0,3,1,33.3,100,2,2,1,27,3,1,8,1,5,1,1,24,31,3,4
B Kumar,Bowler,SRH,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/15.png,smat2023_130,0,0,0,0,0,0,0,0,0,4,22,2,5.5,11,12,0,2,0,58.3,100,1,1,2,27,4,1,2,1,2,1,2,25,29,3,4
